子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
他信被判入狱当天，佩通坦主持为泰党会议宣布备战下届大选,9月10日 12:54,0,,,无评论,,0
他信案宣判后，佩通坦发声,9月9日 18:00,0,,,无评论,,0
外媒：泰国最高法院判处前总理他信一年监禁,9月9日 12:15,1,字畅0FK,09-09 15:44,无论结果如何，这场审判都已成为泰国现代政治史上的重要一页。,天津,1
外媒：泰国最高法院判处前总理他信一年监禁,9月9日 12:15,2,我柚子不幼稚,09-09 15:44,"泰国政坛的""他信时代""可能真的要结束了",天津,2
外媒：泰国最高法院判处前总理他信一年监禁,9月9日 12:15,3,活着就是为了等待,09-09 15:44,从迪拜高调归来，到法院低头听判，命运的反差太大了。,山西,0
泰国最高法院裁定 前总理他信在涉规避服刑案中有罪,9月9日 12:08,1,吉祥如翠,09-09 15:45,他信终于要补完刑期了，法治面前人人平等。,内蒙古,4
泰国最高法院裁定 前总理他信在涉规避服刑案中有罪,9月9日 12:08,2,壹抹阳,09-09 15:45,服刑一年，对所有人都是公平的信号。,浙江,1
泰国最高法院裁定 前总理他信在涉规避服刑案中有罪,9月9日 12:08,3,百度网友528579a0cc7,09-09 15:45,得特赦也不能规避服刑，这是规则底线。,广东,4
他信抵达泰国最高法院，今日宣判！,9月9日 11:53,1,公子半退休,09-09 15:50,他信这回可真是亲自出庭，不能再玩“躲猫猫”了,陕西,0
他信抵达泰国最高法院，今日宣判！,9月9日 11:53,2,诶诶弟娃,09-09 15:50,泰国法院警力严密，看得出来事态不简单,广西,0
他信抵达泰国最高法院，今日宣判！,9月9日 11:53,3,夜狼新,09-09 15:49,如果判决不利，他信恐怕要重新服刑了,广东,0
现场视频丨等待裁决 泰国前总理他信携女儿佩通坦现身最高法院,,1,永远在我们心里,09-09 15:45,民主党议员敢提告，很勇敢 💪,重庆,4
现场视频丨等待裁决 泰国前总理他信携女儿佩通坦现身最高法院,,2,一笔成城,09-09 15:45,他信女儿当总理的日子也不稳了,甘肃,1
现场视频丨等待裁决 泰国前总理他信携女儿佩通坦现身最高法院,,3,禓木公木木196f,09-09 15:45,服刑时间怎么算，法律明确最重要,广东,0
