子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
多方谴责以色列在卡塔尔发动袭击,今天 13:59,14,safedonne,1小时前,这样还不回击？？？那一步一步就是吞并中东了,广东,0
多方谴责以色列在卡塔尔发动袭击,今天 13:59,15,自私的人很快乐,1小时前,唇亡齿寒，今天旁观，明天就挨打,山东,3
多方谴责以色列在卡塔尔发动袭击,今天 13:59,16,木0又0木,1小时前,赤裸裸的恐怖主义，没人打击， 自以为正义的 美帝呢,江苏,5
多方谴责以色列在卡塔尔发动袭击,今天 13:59,17,画虎客,1小时前,以色列15架战机直接突袭，卡塔尔防空系统沉默，战机一架没升空拦截，说明了卡方早已知情并被拿捏。,湖南,48
多方谴责以色列在卡塔尔发动袭击,今天 13:59,18,tapt,2小时前,以色列：就违反了，咋滴,浙江,9
多方谴责以色列在卡塔尔发动袭击,今天 13:59,19,安稳1U,1小时前,说反了,江苏,3
多方谴责以色列在卡塔尔发动袭击,今天 13:59,20,焦含灵0Ec903,1小时前,以色列400架中高端战机已经在中东称霸称王了，中东各国有多水，可想而知,广东,5
多方谴责以色列在卡塔尔发动袭击,今天 13:59,21,乾贤惠0Dw,1小时前,在自己家里当然没问题，但在别人家里就必须征得同意才行，除非他们唱双簧，否则贸然越国斩首哪怕是恶人也是坏的行为。,北京,5
多方谴责以色列在卡塔尔发动袭击,今天 13:59,22,simon_xiaming,14分钟前,英法德希望以色列统一中东，法国总统——“无论如何，战争都不应蔓延至整个地区。”；德国联邦政府——“战争绝不能扩大到整个地区”。；英国首相府——可能导致局势进一步升级；,江苏,0
多方谴责以色列在卡塔尔发动袭击,今天 13:59,23,TimoAMsen,1小时前,三方联袂出演给哈马斯看的,安徽,0
多方谴责以色列在卡塔尔发动袭击,今天 13:59,24,safedonne,1小时前,斩首以色列总统,广东,10
多方谴责以色列在卡塔尔发动袭击,今天 13:59,25,葑的卢,1小时前,欧洲各国这么积极，都想卖军火,河南,0
多方谴责以色列在卡塔尔发动袭击,今天 13:59,26,12138he,1小时前,卡塔尔也是软柿子，让人家捏过来捏过去的！,江苏,0
多方谴责以色列在卡塔尔发动袭击,今天 13:59,27,李维斯特劳斯,1小时前,看下新闻，这几年不是第一次炸了，卡塔尔也没啥有力反应。,湖北,1
多方谴责以色列在卡塔尔发动袭击,今天 13:59,28,我央恨f,1小时前,这样还不如直接投降赴死，反正死定了。卡塔尔是美军在中东最大的基地所在国，基本算是中东的亲美派。,广东,1
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,1,一个有意思的男,2小时前,这次袭击卡塔尔多哈北部地区的建筑，就是为了打击哈马斯。请问下一次哈马斯跑到中东的另一个约旦或者是阿联酋首都阿布扎比，以色列也发射导弹攻击吗？,广西,5
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,2,欣欣向荣1蒸蒸日上,3小时前,卡的国防部是防什么的？不说拦截了，一点预警都没，直接被人在家里KO了。,浙江,9
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,3,初级追风,3小时前,就是卡塔尔出卖的情报,湖南,3
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,4,青炎丿,2小时前,已经炸到别的主权国家了，而且不给民众预警，以色列这不是恐怖主义行为吗？,广西,5
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,5,水之晶9,2小时前,这不是情报,江苏,1
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,6,创新的小新,3小时前,阿拉伯人真是不团结啊，被人打脸了还不敢反击。,广东,39
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,7,稻花香里听蛙声,2小时前,当然安全，有美军保护着了。,山西,3
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,8,枣咕曾堆,2小时前,这种时候不去屯粮，等到卡塔尔开始反击再去屯就晚了。准备饿肚子吧,上海,0
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,9,秦汉唐明中,2小时前,怪不得叫阿拉伯，是真的拉,贵州,4
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,10,媳妇三拳有点疼,2小时前,美国和以色列根本不把其他国家人放在心上，一味的谴责好像意义也不是很大,浙江,36
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,11,不看全内容就回复的都是yx,3小时前,阿拉伯民族虽人口众多却长期缺乏凝聚力，部分人曾幻想依附西方换取安全，最终在血淋淋的现实中认清：强权者从未将他们的生命视为平等。这次惨痛教训昭示着：唯有团结自强、发展硬实力，才能赢得真正尊严，不再沦为霸权博弈的牺牲品。,江苏,25
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,12,暗号哭了,3小时前,各个酋长国各自为战，自己管自己,上海,7
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,13,冰冻豆粉,2小时前,以色列真不怕啊，说炸就炸，中东小霸王,河北,6
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,14,Sophia冲,2小时前,是你认清了吧，他们认你说的这个吗？教派斗争的优先级高于你说的这些。,北京,2
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,15,阿涩z,3小时前,老屌丝，该上班打螺丝了。,四川,16
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,16,ty351000,3小时前,阿拉伯国家真是一群饭桶，这么多大国，被以色列轮流打击，他们都能忍气吞声,浙江,36
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,17,1问问你了,3小时前,这篇文章告诉我们，有个叫杨女士的外国人，在被炸时，产生想到中国 来的念头。,浙江,147
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,18,awai2002,2小时前,你让沙特扔个核弹过去？没看见以色列谁都打，就是不打沙特吗，以色列这样下去，卡塔尔哪天也买点二踢脚，以色列估计就不敢了,浙江,2
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,19,口吐芬芳的李童鞋,2小时前,卡塔尔人也是承平日久，想都想不到会有炸弹达到本土。,上海,4
卡塔尔当地中国人：民众没收到任何预警，爆炸声以为是鼓声,今天 11:03,20,xjtugirl,3小时前,别扯淡，在卡塔尔，除了原生穆斯林，其他人都是外国人，杨女士不是你眼中的外国人。,卡塔尔,17
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,1,桐雅苼vt,3小时前,你想表达什么！,广东,10
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,2,猕猴桃13579,4小时前,使馆等价于一个国家的领土。,浙江,4
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,3,百度网友2b75182,3小时前,只有哈马斯才能带给世界真正的和平,北京,2
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,4,VicVocgreat,2小时前,这，你说的和这篇文章的内容没冲突啊，的确是804m。文章没提伊拉克，提我们自己的使馆，有问题吗？,广东,30
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,5,熊孩子87,3小时前,以色列在中东无敌了？,黑龙江,2
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,6,百度网友c77e6cc,4小时前,以犹笃定了决心要除掉哈马斯，所谓的谈判都是幌子。,湖北,69
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,7,来自灵水村美不胜收的紫穗槐,3小时前,这次美国没敢使用过期地图！,北京,25
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,8,91劲夫,3小时前,这个俯瞰图，多哈的城市建设还挺规整的,广东,5
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,9,来心语b2,3小时前,明显是美以卡三方做局斩首哈，太坏,江苏,3
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,10,0701634,2小时前,以色列是铁心不想谈判，吞并巴勒斯坦,安徽,5
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,11,冬夜小雨2P,4小时前,你想表达什么呢,安徽,55
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,12,楼骊红058,5小时前,以色列真是疯了,江西,114
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,13,wangliu881c,4小时前,离哈马斯总部仅800米,北京,29
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,14,VicVocgreat,3小时前,楼主，你想表达什么？,广东,13
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,15,归思淼Zt,2小时前,对一个国家的首都轰炸就是侵略行为，卡国不反击后患无穷,四川,3
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,16,英语四级258369,3小时前,美国不可信任,广东,1
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,17,windcools,2小时前,直线800米，远着呢,吉林,0
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,18,写手华表,4小时前,以色列的导弹弹片崩出八百米开外，直接砸进了中国大使馆？,浙江,8
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,19,欣欣向荣1蒸蒸日上,3小时前,可惜俄罗斯被拖住了,浙江,1
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,20,zhanchuant,2小时前,感觉以色列即将统治全世界,陕西,5
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,21,百度网友cd32be5,3小时前,把英文翻译了一下，被炸地点前面是伊拉克使馆，后面是菲律宾，周围全是使馆区域，和中国使馆区离了远了。,广东,131
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,22,戈泰斯,2小时前,正文可没这么说，你属于造谣哦！,四川,3
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,23,克城我小王,2小时前,德国得只棱起来，还等着买德国产的肥皂呢,山东,1
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,24,广靖易53,2小时前,不知所云！ 800米直线距离还隔着那么多楼。是想说大使馆工作人员都是金刚之躯么？,江苏,1
以军空袭多哈，袭击地点距中国使馆仅800米,今天 10:51,25,qifanabcd123,2小时前,如果你在现场距离爆炸800多m你怕不怕？,河南,22
接待以色列总统前夕，斯塔默谴责以军空袭卡塔尔,今天 10:42,1,satou2000,1小时前,打打嘴炮而已，有本事你就制裁以色列！,四川,2
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,1,丶点点滴滴丶丶,5小时前,加拿大，澳大利亚，日本，印度，卡塔尔，例子可太多了,上海,5
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,2,百度网友27b53cefcc,6小时前,希望以色列反手就又一发导弹打到卡塔尔首都,广西,29
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,3,商界观评,4小时前,美国觊觎波斯湾石油好久了,北京,1
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,4,亢龙有悔知道,4小时前,以色列：我负全部责任，你奈我何？,湖北,2
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,5,叼HI叼蟹,6小时前,卡塔尔有美军基地部署，证明美国防御系统是放行以色列战机偷袭，中东富裕石油国家防御基本没自主权。这些国家再不改变自身领土防御力的自主权。就翻版巴勒斯坦国,广东,138
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,6,脚踢峨嵋女搼打键盘俠,4小时前,费话少说点,山东,0
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,7,451183932,3小时前,从此中东没有一个安全的国家和区域,福建,1
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,8,xwx800,1小时前,阿拉伯人会团结吗？一群土豪,江苏,0
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,9,就一小段,6小时前,哎呀，A袭击B，C说，我保证A不再袭击B,湖南,62
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,10,西江东东,3小时前,当以色列对美国的“亲密”盟友卡塔尔发起空袭时，卡塔尔采购的昂贵美制防空系统按兵不动,广东,9
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,11,账号又被盗了,2小时前,挑衅了一下伊朗，伊朗几个导弹就打得以色列求停火，就这点战力还第一强国，不是老美在后面，都不知被灭国多少次了！,湖北,9
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,12,吾小儿有大帝之姿,5小时前,这就是完美的说明了亲儿子和钱雇佣干爹的区别。很明显美国是提前知道亲儿子要打卡塔尔的，也默认了。卡特尔除了有钱外啥都没有，所以几天后就平静了。,安徽,8
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,13,milkok,1小时前,组建一支法律团队进行追责，还能更搞笑吗？,广东,0
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,14,木化金,6小时前,莱维特一如既往的气定神闲,广东,3
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,15,藕使德廖b4063,5小时前,这更像是对中东各国底线的疯狂试探。此役过后，卡塔尔不再存在任何实质性的主权。毕竟首都可以被随时空袭。,江苏,98
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,16,西江东东,3小时前,也不都是这样，但例子还是有的。朝鲜战场的一个例子。联合国军被志愿军包围后，联军合军决定趁夜色突围。美军指军官要求英军掩护突围，但英军不答应，并且已经开始自行突围了。美军官大怒，下令把全部照明弹不停地往英军阵地上空发射，把英军阵地照得如同白昼，导致英军被歼灭。美军则趁着志愿军歼灭英军的时候逃跑。,广东,4
特朗普与卡塔尔元首通话，保证袭击不再发生,今天 09:37,17,书逸长廊,5小时前,上一次都是卡塔尔帮忙重建的加沙，卡塔尔在劝架，美国炸弹就过去了，这不是搞笑吗！！让人笑喷,广西,6
