子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
也门胡塞武装称向以色列发射了11枚弹道导弹和无人机,7月7日 18:45,1,酷三末,07-22 13:06,全世界爱和平的国家，应正义的反对以色列的强盗逻辑，用实际行动支持加沙人民努力打败以色列，才能使世界和平，真正做到反双层标准，反以大欺小，以强凌弱。,重庆,2
也门胡塞武装称向以色列发射了11枚弹道导弹和无人机,7月7日 18:45,2,君山99,07-22 10:22,无牵无挂，无惧无畏,广东,1
也门胡塞武装称向以色列发射了11枚弹道导弹和无人机,7月7日 18:45,3,生命棵学大自然的启示,07-07 18:54,愿世界少些硝烟，多些和平鸽！,云南,2
也门胡塞武装称向以色列发射了11枚弹道导弹和无人机,7月7日 18:45,4,瓮丹彤Eo,07-22 11:35,不让以色列疼，他不会停止侵略战争的,广东,0
也门胡塞武装称向以色列发射了11枚弹道导弹和无人机,7月7日 18:45,5,lanhaifangzhou008,07-22 10:49,胡塞越打越强，他会成为中东的新龙头吗？,上海,1
也门胡塞武装称向以色列发射了11枚弹道导弹和无人机,7月7日 18:45,6,乡桥,07-22 09:20,有意思吗？,浙江,2
也门胡塞武装称向以色列发射了11枚弹道导弹和无人机,7月7日 18:45,7,若那是初見7e,07-22 14:06,全世界组织应该袭击以色列所有人。,河南,0
以色列防长：已摧毁胡塞武装最后一架飞机,5月28日 16:29,1,你好北晶,05-28 15:52,愿世界和平，笑声比爆炸声更响亮！,北京,1
也门萨那传出爆炸声,5月28日 15:50,1,你我致同,05-28 16:19,犹太人充满了罪恶，人人得而诛之。,北京,35
也门萨那传出爆炸声,5月28日 15:50,2,金太阳WY5NH,05-28 17:02,小胡子对犹太人做了什么？,江苏,1
也门萨那传出爆炸声,5月28日 15:50,3,猫咪酱紫吖DL,05-28 18:00,"基督教认为，犹太人全面正式占领耶路撒冷的时候，就是神第二次降临世界。会进行审判。
犹太人认为自己是正义的化身，包括很多国内的老年基督教信仰者，也认为犹太人应该占领耶路撒冷。",河南,1
也门萨那传出爆炸声,5月28日 15:50,4,安庆第一刀,05-28 16:17,鱿鱼会遭天谴。,安徽,119
也门萨那传出爆炸声,5月28日 15:50,5,地方撒162,05-28 16:28,"阿拉伯VS犹太
这是种族之间的较量啊，其他阿拉伯国家呢， 都在看热闹是吧，早晚变成焚天的粑粑",辽宁,64
也门萨那传出爆炸声,5月28日 15:50,6,青松翠柏2022,05-28 16:24,以色列越来越猖狂了，比特朗普还猖狂，得有人站出来治治他了,河北,6
也门萨那传出爆炸声,5月28日 15:50,7,凡尔赛宫的王富棍儿,05-28 19:29,你对国家民族这些概念的认知存在很大的误区。所有的犹太人以以色列作为祖国，就像所有的印度人以印度作为祖国，所有的俄罗斯人以俄罗斯作为祖国。国籍只是一个官方登记而已。于他们而言，心系祖国是很自然的事情。所以，你在认定以色列军力的时候，必须考虑到整个犹太人。,山东,0
也门萨那传出爆炸声,5月28日 15:50,8,凡尔赛宫的王富棍儿,05-28 19:55,去年他们打了几艘商船，上面挂的啥国旗来着,山东,1
也门萨那传出爆炸声,5月28日 15:50,9,百度网友d945e126f,05-29 00:21,他们是以抢劫为生的吗？不知道，也许是吧。但以色列以杀人为乐，以侵占他人家园为荣，以种族灭绝为宗旨，这不是更可恶，更应该下地狱吗？,广西,0
也门萨那传出爆炸声,5月28日 15:50,10,玉麒麟配火凤凰,05-28 16:16,也门的同志们，给我狠狠的揍鱿鱼！！,广东,34
也门萨那传出爆炸声,5月28日 15:50,11,HOOOOOOOOOOK,05-28 16:56,穷不是你撒泼打滚的理由,陕西,2
也门萨那传出爆炸声,5月28日 15:50,12,百度网友6447606,05-28 16:29,这恰恰证明胡塞之前击中目标了，不然以色列不会这么恼火,中国香港,2
也门萨那传出爆炸声,5月28日 15:50,13,木油电话,05-28 16:40,干得漂亮，狠狠的打击恐怖主义！,天津,4
也门萨那传出爆炸声,5月28日 15:50,14,fnwz201401,05-28 16:20,攻击民用设施，看来世界已经无法阻止小以了。,河北,80
也门萨那传出爆炸声,5月28日 15:50,15,吃天鹅肉,05-28 16:20,漂亮！,广东,3
也门萨那传出爆炸声,5月28日 15:50,16,飞飞鱼flyfly,05-28 16:24,以色列真是小胡子失散多年的亲兄弟！,江苏,27
也门萨那传出爆炸声,5月28日 15:50,17,凡尔赛宫的王富棍儿,05-28 19:21,跟老兵有关系？看看中国历史，几乎所有的经典战例，都是由非老兵们指挥完成的。韩信白起，孙武曹操，哪个是老兵出身？,山东,0
也门萨那传出爆炸声,5月28日 15:50,18,了不起的中国人,05-28 21:31,胡赛是反政府恐怖组织武装，背后是伊朗支持的,上海,1
也门萨那传出爆炸声,5月28日 15:50,19,周你作人,05-28 16:29,以恶制恶我只能说好,广东,8
