子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
U22国足0-0战平澳大利亚，晋级U23亚洲杯正赛,9月9日 23:10,0,,,非百家号页面，跳过评论爬取,,0
U22国足迎战澳大利亚:王钰栋胡荷韬首发出战 向余望蒯纪闻待命,9月9日 19:39,0,,,非百家号页面，跳过评论爬取,,0
"澳大利亚U23主帅:中国队是支优秀的队伍,双方都有机会取胜",9月9日 12:46,0,,,非百家号页面，跳过评论爬取,,0
U23亚预赛：中国队不能只有王钰栋,9月8日 11:11,1,泼就三分妙可观a,09-08 23:15,小伙子王钰栋真亮眼，面对强敌得靠全队拼。球迷们一起鼓劲加油吧。,陕西,0
"王钰栋:澳大利亚队是一支强队,但我们也不能惧怕对手",9月8日 10:04,0,,,非百家号页面，跳过评论爬取,,0
王钰栋:不惧怕澳大利亚队,9月7日 12:55,0,,,非百家号页面，跳过评论爬取,,0
U22男足上半时1比0，下半时9比0,9月6日 22:52,0,,,无评论,,0
U23亚预赛，王钰栋能否助力U22战胜澳大利亚？,9月5日 01:21,0,,,非百家号页面，跳过评论爬取,,0
"胡荷韬:U22国足最后一轮将死磕澳大利亚,主教练对全队有信心!",,1,南京李易峰世界,09-04 15:25,胡荷韬小伙挺拼的，赢球了还有斗志。最后死磕澳大利亚，教练信你们，加油！,四川,0
