子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
“50岁自驾游阿姨”，登上戛纳红毯,5月17日 11:55,1,盖笛Qe,05-17 14:56,脱胎换骨自由奔放,山东,2
“50岁自驾游阿姨”，登上戛纳红毯,5月17日 11:55,2,巭孬鬻彌吖,05-17 21:31,姜武：你就是懒！哈哈,北京,0
“50岁自驾游阿姨”，登上戛纳红毯,5月17日 11:55,3,涵涵爱吃甜点,05-17 12:28,内容很精彩，期待更新！,甘肃,1
“50岁自驾游阿姨”，登上戛纳红毯,5月17日 11:55,4,时曜瑞4k,05-17 14:17,面相都改变了，真好！,北京,2
母亲节来看电影《出走的决心》根据短视频博主苏敏的真实故事改编,5月11日 09:59,1,义工喵master,05-11 10:59,妈妈们的力量总能触动心底最柔软的角落，泪中带笑的成长课太暖了。,山东,0
“自驾游阿姨”苏敏正式离婚 家人：领离婚证时她一直在笑,1月27日 16:30,1,不知道该取个啥名字好,01-28 06:27,河南人，这么容易中毒吗？上一个也是，“世界那么大，我想去看看”，回到原点。,浙江,0
“自驾游阿姨”苏敏正式离婚 家人：领离婚证时她一直在笑,1月27日 16:30,2,徐2静垒,01-27 17:10,终于离婚了！始于1986年1月20日的苏敏，终于在2025年1月27日这一天正式离婚。这天的苏敏不再是谁的妻子，正式成为自己的苏敏。敬自己38年的勇气，已为自己的错误买单。山水不再相逢，苏敏相信未来的自己一定会越来越好，离婚快乐！,甘肃,9
“自驾游阿姨”苏敏正式离婚 家人：领离婚证时她一直在笑,1月27日 16:30,3,兔子2287,01-28 11:40,你是嫉妒别人已经去世界看了，你这样的没有能力的人，只会在网上瞎逼逼别人，自己什么都不能干，,湖南,2
“自驾游阿姨”苏敏正式离婚 家人：领离婚证时她一直在笑,1月27日 16:30,4,少年壮至不言愁,01-27 17:10,苏敏终于离婚了！终于结束了与前夫的婚姻，结束了错误的人生。从此山水不相逢，我相信未来我会越来越好。始于1986.1.20终于2025.1.27，敬自己38年的光阴，已为自己的错误买单。,广东,2
“自驾游阿姨”苏敏正式离婚 家人：领离婚证时她一直在笑,1月27日 16:30,5,珈蓝鸿信mM,01-28 08:34,太狠了吧，这真是没有人性的土匪属性，已经炒的年轻人都已经认为离婚是潮流了，现在又鼓动这把年龄的人群离婚太无耻了吧，虽然有可能这个事情是真的，只是拿个例当幌子传播,广东,2
“自驾游阿姨”苏敏正式离婚 家人：领离婚证时她一直在笑,1月27日 16:30,6,丛小晨3s,01-27 20:14,佩服羡慕大姐，可恨,江苏,1
