子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
泰国前总理他信返回曼谷,9月8日 17:01,0,,,无评论,,0
"泰国产生新总理,又跑路的他信还回得去吗?",9月8日 09:02,0,,,非百家号页面，跳过评论爬取,,0
泰国新总理选举当日，前总理他信发声：正前往迪拜,9月6日 12:28,0,,,无评论,,0
他信在法院裁决前离开泰国,9月6日 10:43,0,,,非百家号页面，跳过评论爬取,,0
泰国产生新总理，此前一天他信又跑了,9月6日 09:17,1,我真的很帅65,09-07 13:44,这样的泰国，何必留恋？远走他乡，过富翁的自由生活，不好吗？,云南,4
"泰国警方称他信乘机离开泰国,他信发声",9月5日 19:27,0,,,无评论,,0
"新总理选举前,他信离开泰国前往阿联酋",9月5日 16:40,0,,,无评论,,0
飞机临时改变航线!他信凌晨发声,9月5日 14:33,0,,,非百家号页面，跳过评论爬取,,0
总理选举前一天 ，他信离开泰国,9月5日 13:28,0,,,非百家号页面，跳过评论爬取,,0
泰国机场起飞他信航空飞机,9月5日 12:19,0,,,非百家号页面，跳过评论爬取,,0
