子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
知名女星自曝被下药性侵并偷拍,9月8日 12:11,0,,,非百家号页面，跳过评论爬取,,0
江祖平曝自己就是受害人!绿媒副总儿子下药性侵,9月7日 10:00,1,好老猫的2,09-07 22:54,支持维权！！！,北京,0
江祖平曝自己就是受害人!绿媒副总儿子下药性侵,9月7日 10:00,2,失落的热浪,09-07 12:14,江祖平好勇敢好厉害！支持女性维权！,福建,1
江祖平曝自己就是受害人!绿媒副总儿子下药性侵,9月7日 10:00,3,一笑破万千悲累,09-07 10:31,江祖平真勇敢，站出来不易。希望她早日讨回公道，一切安好。,北京,5
"江祖平风波又扒出愤怒一幕:侵犯过程中不但被偷拍,男方还跟亲友视频",9月7日 01:36,0,,,非百家号页面，跳过评论爬取,,0
47岁知名女星自曝遭25岁前男友下药性侵,9月6日 19:28,1,小妮讨厌喝可乐,09-06 21:51,简单却不失深意💡,广东,2
江祖平控诉被前男友下药性侵,9月6日 17:54,1,哥月赚2万,09-06 23:43,想考视频,江苏,0
江祖平遭性侵事件后续,9月6日 17:28,0,,,非百家号页面，跳过评论爬取,,0
警方介入调查江祖平遭性侵案,9月6日 17:02,0,,,无评论,,0
"江祖平遭性侵事件后续!女方被捂嘴,男方家中势力大无明星敢发声",9月6日 14:32,0,,,非百家号页面，跳过评论爬取,,0
江祖平曝被电视台副总儿子性侵,9月6日 13:11,0,,,非百家号页面，跳过评论爬取,,0
江祖平控诉前男友性侵,9月5日 18:26,1,黑衣侯,09-06 07:29,既然当人家女朋友了，还叫性侵？一把年纪白活了，老牛吃嫩草，连生理都不能满足人家谈什么恋爱,江苏,10
江祖平控诉前男友性侵,9月5日 18:26,2,切扛熊W,09-05 18:31,简单却不失深意💡,福建,8
江祖平控诉前男友性侵,9月5日 18:26,3,黑衣侯,09-11 22:39,分手了当然是前女友了，那么能去玩仙人跳吧。,江苏,0
江祖平控诉前男友性侵,9月5日 18:26,4,花生灬V,09-06 12:20,早点举报啊，,江苏,1
江祖平控诉前男友性侵,9月5日 18:26,5,擎天小黄蜂dan,09-11 19:36,认知浅薄,浙江,0
江祖平控诉前男友性侵,9月5日 18:26,6,夜宴臣,09-06 12:21,该死的，给我听好了！伤害女性的渣滓必须严惩，这是命令！,,3
江祖平自曝被性侵细节,9月5日 17:16,0,,,非百家号页面，跳过评论爬取,,0
"江祖平承认被小22岁前男友性侵,案发过程曝光:遭尾随回家下迷药",9月5日 16:15,0,,,非百家号页面，跳过评论爬取,,0
女星江祖平再爆料两位幕后女同事被骚扰,9月4日 15:53,0,,,非百家号页面，跳过评论爬取,,0
