子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
樊振东德甲首胜!樊振东3比1泽利科!直接把对手打懵了,9月7日 00:40,0,,,非百家号页面，跳过评论爬取,,0
樊振东3比1战胜泽利科，迎德甲赛场首胜,9月6日 22:15,0,,,非百家号页面，跳过评论爬取,,0
德甲，樊振东vs泽利科，樊振东赢了第一局,9月6日 21:44,0,,,非百家号页面，跳过评论爬取,,0
德甲击败樊振东的罗曼·鲁伊斯开通社交媒体账号,9月2日 11:37,1,武则天写字中,09-02 11:42,内容不错，期待更多！,湖南,0
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,1,agi小明,09-01 10:26,你是真丢脸,广东,2
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,2,夏韵66,09-01 13:41,意思是巴黎奥运会，世锦赛，世界杯的所有冠军，都是你所谓“惯”出来的？！不要太双标的无底线哦,陕西,0
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,3,风吹过的天蓝色,09-01 10:17,评论区竟是瞎叨叨的，提前被人研究技战术，针对他打的啊，输了情理之中。,北京,1
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,4,英yvvs,09-01 10:32,因为这两场球就认定樊振东退步了的看官们是不是忘了不久前的国内乒超联赛了，十三连胜证明不了实力是吧，大头刚败给徐瑛彬也能说明他退步了吗？小胖去确实不应该去德国打这种三脚猫裁判+无赖对手的比赛，就如同坚守武德的功夫高手和枪手比武，输了不值赢了无趣。合同期满果断离开。,宁夏,1
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,5,ayonggtyj,09-01 11:26,两连败，有点残忍。所以樊振东包括樊振东的球迷都要认清现实，不要自视过高，要有拼的心态而不是守的姿态，目前男乒在世界上并无优势！,广东,1
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,6,画入上00,09-01 09:02,先送输球大礼包，再送赢球拿奖金。,广东,0
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,7,创作者hyapSe1Qcd,09-01 10:03,出门在外真的不容易,山东,1
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,8,辛纳pq,09-01 09:49,离开了国乒，谁能贯着你，,浙江,0
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,9,吴0769,09-01 09:35,真丢脸！,广东,0
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,10,郑义100,09-01 09:15,有点心疼他，巴黎奥运会后，大家都把他视为神了，只要他参加比赛就一定要赢，压力山大。其实赛场如战场，胜败乃兵家常事。,江苏,9
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,11,糖心棒棒的云,09-01 08:51,小胖首秀有点不顺，别灰心啊。后续赛程密集，调整好后劲儿足着呢。,陕西,9
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,12,夏韵66,09-01 13:38,前面刘国梁，马龙，王楚钦，………都出国打过球，怎么说？,陕西,0
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,13,干点正事吧iW,09-01 09:23,心理很难调适，看着吧,广东,1
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,14,秋野心空,09-01 09:10,尽管樊振东技术、心理过硬，但久违世界大赛，对赛场的气氛和节奏有些生疏，需要时间来调整和适应。,安徽,1
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,15,百度网友4c821f2,09-01 09:12,没有国兵强大的训练支持，靠他一个人单板赴会是不行的，不过他挺聪明的，有名了就出去多赚点钱，利益最大化,山东,6
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,16,guofei71820,09-01 10:04,体育竞技不是作秀，是真刀真枪的拼杀，来不得半点虚的，我相信樊振东深知这一点，缺席国际赛场一年了，刚一开始就让他赢球也确实有点难为他了，之后她一定会扎扎实实地训练、深入的分析技战术，快速找回最佳的状态，相信他！,河北,4
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,17,063088,09-01 12:48,先输后赢是他特色， 他经常先大量输之后， 当大家不看好时，每到关键点，如奥运等，他就奇迹能赢。,广东,0
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,18,fishinpool,09-01 10:49,"胖加油~
万事开头难~",福建,1
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,19,xiaoxue409,09-01 11:08,是不适应吗?之前在乒超是全胜呢。,江苏,0
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,20,包兰衲06B,09-01 09:39,这就一场比赛，就有结论了？,安徽,9
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,21,iHanlei,09-01 09:54,一群小丑，输一场就代表一切了？喷子吧,四川,3
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,22,fishinpool,09-01 10:49,你有病吧,福建,1
樊振东德甲首秀2连败，后续赛程将检验调整效果,9月1日 08:41,23,北方来的蝈蝈,09-01 10:00,有什么丢脸的，技术竞技比赛的胜败不是常事嘛！不该佩服小胖的决心和勇气嘛！,山东,5
樊振东德甲首秀憾负世排302名法国选手，2500 人见证“票房奇迹”,8月31日 21:33,0,,,无评论,,0
