子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
也门胡塞武装称打击以色列机场,9月5日 20:21,0,,,非百家号页面，跳过评论爬取,,0
"胡塞武装出击!本古里安机场遇袭,美以拦截失败",9月5日 11:44,0,,,非百家号页面，跳过评论爬取,,0
胡塞武装导弹袭击以机场 称美以未能拦截,9月5日 09:18,0,,,非百家号页面，跳过评论爬取,,0
胡塞武装袭击以色列机场,9月4日 18:21,1,先君手手月当圆,09-05 06:48,胡塞不能再来狠点给以色列,江苏,0
胡塞武装袭击以色列机场,9月4日 18:21,2,赵晓锐bNs,09-04 22:56,愿世界少些冲突，多些和平的阳光！,广东,0
胡塞武装称袭击本·古里安国际机场,9月4日 15:11,0,,,无评论,,0
胡塞武装连续两天袭击以色列,9月4日 13:18,0,,,非百家号页面，跳过评论爬取,,0
胡塞武装猛烈复仇!导弹打穿以色列首都防空系统!暴露一重大缺陷,9月4日 12:34,0,,,非百家号页面，跳过评论爬取,,0
胡塞武装称再袭以色列并命中目标，以军为进攻加沙城做准备,9月3日 07:52,0,,,非百家号页面，跳过评论爬取,,0
胡塞武装称再袭以色列并命中目标,,1,应静秀0HT,09-02 23:55,愿世界和平，共筑美好未来！,福建,1
