子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
台风“塔巴”来袭 广东消防救援队伍全力做好应对处置工作,9月8日 20:20,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”登陆江门台山 深湛、广茂铁路全部列车停运,9月8日 11:23,0,,,无评论,,0
台风“塔巴”今日将登陆广东 华南沿海暴雨大暴雨来袭,9月8日 06:31,0,,,非百家号页面，跳过评论爬取,,0
今年第16号台风“塔巴”今日将登陆广东,9月8日 05:34,0,,,非百家号页面，跳过评论爬取,,0
台风塔巴在江门台山沿海登陆 广东局部有特大暴雨,9月8日 00:00,0,,,非百家号页面，跳过评论爬取,,0
"台风“塔巴”直扑广东,云团扎堆聚集广州上空",9月7日 21:55,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”逼近 今年第16号台风“塔巴”将于明天登陆广东,9月7日 21:05,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”结构不对称 或以巅峰强度登陆广东沿海,9月7日 15:32,0,,,非百家号页面，跳过评论爬取,,0
"今年16号台风“塔巴”逼近广东沿海,广州台风蓝色预警信号生效中",9月7日 15:29,0,,,非百家号页面，跳过评论爬取,,0
"台风“塔巴”逼近广东,明后两天广州有大到暴雨局部大暴雨",9月7日 14:12,0,,,无评论,,0
"台风“塔巴”要来了,或在广东沿海登陆",9月7日 13:21,0,,,非百家号页面，跳过评论爬取,,0
"广东68个台风预警信号生效中,琼州海峡航线全线停运",9月7日 11:53,1,气质女神plus,09-07 12:01,台风要来了，大家注意安全少出门。提前防范风雨，保护好自己。,陕西,0
"台风“塔巴”来袭,中国气象局启动重大气象灾害四级应急响应",9月7日 09:59,0,,,非百家号页面，跳过评论爬取,,0
第16号台风塔巴强度逐渐增强 将登陆珠海至湛江一带沿海,9月7日 09:29,0,,,非百家号页面，跳过评论爬取,,0
今年第16号台风“塔巴”生成 广东海南有明显风雨影响,9月7日 07:43,0,,,非百家号页面，跳过评论爬取,,0
今年第16号台风“塔巴”生成 或将8日登陆广东沿海一带,9月6日 23:13,0,,,非百家号页面，跳过评论爬取,,0
今年第16号台风即将生成,9月6日 13:30,0,,,非百家号页面，跳过评论爬取,,0
第16号台风要来了?广东广西等地或将遭遇强降雨局地大暴雨,9月5日 17:09,0,,,无评论,,0
