子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
申京东契奇均揽三双 欧锦赛自1995年以来首次单届多次三双,9月10日 07:32,0,,,非百家号页面，跳过评论爬取,,0
东契奇再拿一次将追平盖利斯的单届赛事记录,9月9日 00:26,0,,,非百家号页面，跳过评论爬取,,0
东契奇全场砍下37分11篮板9助攻,9月5日 07:57,0,,,非百家号页面，跳过评论爬取,,0
东契奇加冕斯洛文尼亚男篮队史得分王,9月5日 07:22,1,Jojo演讲师,09-05 07:29,东契奇这场打得太棒了，超越德拉季奇成队史得分王，实力真强。,湖南,0
东契奇小组赛阶段场均34分8篮板8.4助攻,9月5日 02:52,0,,,非百家号页面，跳过评论爬取,,0
东契奇超越德拉季奇成为斯洛文尼亚男篮历史得分王,9月5日 02:28,0,,,无评论,,0
欧锦赛官推盛赞东契奇:这是卢卡的世界 我们只是生活在里面,9月5日 01:26,0,,,非百家号页面，跳过评论爬取,,0
东契奇砍下37分11板9助准三双 助队豪取三连胜,9月5日 00:53,0,,,无评论,,0
东契奇迎来首胜，字母哥高效暴走,9月2日 09:38,0,,,非百家号页面，跳过评论爬取,,0
东契奇全场砍下27分15篮板13助攻，独行侠险胜奇才,9月1日 11:52,0,,,非百家号页面，跳过评论爬取,,0
男篮欧锦赛：博格丹因伤退出赛事，东契奇三双助队首胜,9月1日 10:32,0,,,非百家号页面，跳过评论爬取,,0
斯洛文尼亚小组赛惨遭两连败,8月31日 08:23,0,,,非百家号页面，跳过评论爬取,,0
