子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
俄罗斯无人机入侵波兰领空，北约战机紧急拦截,昨天 21:21,0,,,非百家号页面，跳过评论爬取,,0
波兰将关闭波兰与白俄罗斯边境口岸，已与北约盟国启动军事演习,昨天 12:05,0,,,非百家号页面，跳过评论爬取,,0
8架无人机越境波兰导弹反击，触发北约第四条款，俄罗斯否认,昨天 11:40,0,,,非百家号页面，跳过评论爬取,,0
"波兰指认“俄无人机侵犯波兰领空”,俄国防部回应",昨天 10:41,0,,,非百家号页面，跳过评论爬取,,0
波兰称遭俄罗斯无人机入侵,昨天 07:15,0,,,非百家号页面，跳过评论爬取,,0
白俄罗斯连夜向波兰立陶宛交换空中雷达信息,昨天 01:54,0,,,非百家号页面，跳过评论爬取,,0
波兰外交部召见俄罗斯驻波兰临时代办,9月10日 21:07,0,,,非百家号页面，跳过评论爬取,,0
"俄军无人机成群飞入波兰,北约F35起飞拦截,普京试探西方底线?",9月10日 18:51,0,,,非百家号页面，跳过评论爬取,,0
波兰军方称无人机侵犯波领空为“侵略行为”,9月10日 16:36,0,,,非百家号页面，跳过评论爬取,,0
波兰总理:“俄无人机侵犯领空”,9月10日 14:57,0,,,非百家号页面，跳过评论爬取,,0
