子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
国乒首位世界冠军爆冷出局，对方跪地庆祝，如同夺冠,昨天 20:34,0,,,非百家号页面，跳过评论爬取,,0
"WTT澳门站第二日:国乒男队警报拉响!2大将先后出局,世界第9爆冷淘汰",昨天 07:53,0,,,非百家号页面，跳过评论爬取,,0
"澳门冠军赛冷门!世界冠军0-3淘汰,日韩遭遇滑铁卢",9月10日 20:08,0,,,非百家号页面，跳过评论爬取,,0
世乒联冠军赛澳门站 林诗栋晋级男单16强,9月10日 15:31,0,,,非百家号页面，跳过评论爬取,,0
9月10日澳门冠军赛丹麦猛将淘汰日本名将,9月10日 14:02,0,,,非百家号页面，跳过评论爬取,,0
"WTT澳门冠军赛林诗栋、王楚钦晋级,王艺迪速胜",9月10日 09:34,0,,,无评论,,0
"国际乒联第37周男单世界排名:林诗栋榜首,周启豪上升六位",9月9日 23:41,0,,,非百家号页面，跳过评论爬取,,0
WTT澳门冠军赛:王楚钦、林诗栋晋级16强,9月9日 21:51,0,,,非百家号页面，跳过评论爬取,,0
世乒联冠军赛澳门站开赛 林诗栋首轮轻松过关,9月9日 18:06,0,,,非百家号页面，跳过评论爬取,,0
"林诗栋3-0轻取高承睿,澳门冠军赛迎开门红",9月9日 15:42,1,闪亮登场StarS,09-09 15:54,林诗栋开局真猛，三局轻松拿下，期待下一轮表现！,山西,0
林诗栋出席WTT澳门抽签，孙颖莎缺席，国乒阵容再受考验,9月8日 10:46,0,,,非百家号页面，跳过评论爬取,,0
WTT澳门冠军赛签表出炉，孙颖莎对战赫尔希，王楚钦独守下半区,9月7日 17:46,1,ShyGuy喜欢看电影,09-07 18:02,签表出炉了，莎莎对阵赫尔希，王楚钦独守下半区，稳稳拿下比赛没问题。,湖北,3
林诗栋王楚钦澳门冠军赛会师,9月5日 15:00,0,,,非百家号页面，跳过评论爬取,,0
