子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
以色列袭击卡塔尔首都多哈,昨天 14:19,0,,,非百家号页面，跳过评论爬取,,0
"哈马斯高层躲过一劫,或因土耳其预警",9月10日 21:55,0,,,无评论,,0
卡塔尔首都多哈发生爆炸 以色列称对哈马斯高级领导层实施打击,9月10日 16:14,0,,,非百家号页面，跳过评论爬取,,0
"以色列袭击在卡塔尔的哈马斯目标,伊朗:这是“犯罪行为”",9月10日 13:08,0,,,非百家号页面，跳过评论爬取,,0
以色列千里追杀失败，哈马斯高层紧急转移，导弹下一秒就扎进会场,9月10日 09:06,0,,,非百家号页面，跳过评论爬取,,0
以色列总理内塔尼亚胡:以色列永远不会忘记10月7日哈马斯袭击,9月10日 00:40,0,,,非百家号页面，跳过评论爬取,,0
哈马斯部分领导人在多哈遭以色列袭击,9月9日 22:21,0,,,非百家号页面，跳过评论爬取,,0
以色列袭击卡塔尔首都,9月9日 21:48,0,,,无评论,,0
以色列试图在卡塔尔袭击哈马斯官员,9月9日 21:10,0,,,非百家号页面，跳过评论爬取,,0
