子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
OpenAI与甲骨文达成3000亿美元算力订单,昨天 14:43,0,,,非百家号页面，跳过评论爬取,,0
甲骨文股价暴涨36% A股科技行情第二波来了,昨天 14:41,0,,,非百家号页面，跳过评论爬取,,0
甲骨文业绩亮眼点燃全球AI热情，A股多只相关ETF今年涨幅超40%,昨天 12:10,0,,,非百家号页面，跳过评论爬取,,0
起底甲骨文与埃里森,昨天 11:49,0,,,无评论,,0
"甲骨文暴涨,A股小伙伴曝光!",昨天 11:43,0,,,非百家号页面，跳过评论爬取,,0
华尔街评甲骨文暴涨,昨天 10:58,1,Betty爱吃鸡蛋,09-11 11:02,这个视角很有趣哦👀,江西,1
甲骨文股价暴涨 新全球首富诞生,昨天 07:32,0,,,非百家号页面，跳过评论爬取,,0
甲骨文收高35.95% OpenAI已与其签约,昨天 05:43,0,,,非百家号页面，跳过评论爬取,,0
博通、台积电、甲骨文股价再创记录新高,9月10日 23:22,0,,,非百家号页面，跳过评论爬取,,0
甲骨文预计云业务订单将突破5000亿美元,9月10日 18:58,0,,,非百家号页面，跳过评论爬取,,0
摩根士丹利将甲骨文公司目标价从175.00美元上调至246.00美元,9月8日 18:15,0,,,非百家号页面，跳过评论爬取,,0
