子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
王福义中将逝世,昨天 06:34,0,,,非百家号页面，跳过评论爬取,,0
王福义同志逝世,9月10日 18:40,0,,,非百家号页面，跳过评论爬取,,0
102岁抗战老兵看完阅兵后安详离世 家人称“圆梦” 网友叹“归队”,9月6日 15:21,0,,,非百家号页面，跳过评论爬取,,0
抗战烈士周叔屏之孙周文进:现场看阅兵感到无上光荣,9月5日 16:31,0,,,无评论,,0
"102岁抗战老兵在ICU看完阅兵,当晚安详离世",9月5日 11:34,0,,,无评论,,0
"原陆军第31集团军军长王昭堃逝世,享年98岁,身上留有10多处枪伤",9月4日 16:14,0,,,非百家号页面，跳过评论爬取,,0
"102岁海南抗战老兵符国冠:“国家强大,人民才幸福”",9月4日 09:02,0,,,非百家号页面，跳过评论爬取,,0
“一定要珍惜和平!”96岁抗战老兵热泪盈眶看阅兵,9月3日 21:29,0,,,非百家号页面，跳过评论爬取,,0
曾“唱空城计”吓跑日伪军 102岁新四军老兵陈开义收到“抗战胜利80周年”纪念章,,1,fhfh137,09-04 16:03,向革命英雄致敬。,山东,0
