子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
在美被捕韩国公民获释 将乘包机返回韩国,昨天 14:00,0,,,无评论,,0
由于美方原因，在美被拘300余名韩国公民无法按原计划回国,9月10日 20:21,0,,,无评论,,0
美国反手一巴掌，韩国惊了,9月10日 17:56,1,大河起自蛟腾f,09-10 20:51,中国人在美国的投资企业怎么样了？爰国的企业家曹德旺在美国的企现状如何？,辽宁,0
美国反手一巴掌，韩国惊了,9月10日 17:56,2,雾里看花17029,21小时前,搞什么异地投资，不如认下高关税。,江苏,0
韩媒:韩美外长会晤推迟一天 不影响被拘人员回国,9月10日 09:58,0,,,非百家号页面，跳过评论爬取,,0
外媒：韩方要求美国允许被捕韩国公民再次入境美国,9月9日 16:25,1,迟糖小鱼,09-09 20:47,看到图片 觉得挺屈辱的,河北,1
外媒：韩方要求美国允许被捕韩国公民再次入境美国,9月9日 16:25,2,镇苍0j4,09-09 16:31,协商是金，友谊万岁！,陕西,0
回应韩企员工在美被捕 韩国总统李在明：希望不再发生,9月9日 13:24,0,,,无评论,,0
针对超300名韩国人在美被捕 特朗普最新回应,9月8日 16:51,0,,,无评论,,0
韩国称在美被捕韩籍员工将于10日左右乘包机回国,9月8日 12:58,1,红hong衣坊,09-08 14:23,欢迎回家！泡菜和烤肉已备好~,重庆,0
美国突袭现代汽车工厂,9月7日 19:58,0,,,无评论,,0
300多名韩国人在美被捕 韩舆论担忧波及美韩关系,9月7日 18:08,0,,,无评论,,0
韩称与美协商完毕拟派包机接回,9月7日 16:36,0,,,无评论,,0
李在明要求全力迅速解决,9月7日 16:01,0,,,无评论,,0
