子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
"法总理成高危职业,贝鲁“背水一战”失败",9月11日 11:13,0,,,非百家号页面，跳过评论爬取,,0
马克龙拒绝辞职，法国将何去何从？,9月10日 12:33,0,,,非百家号页面，跳过评论爬取,,0
"嘲讽马克龙,不去乌克兰,意大利副总理叫板法国",9月7日 19:04,0,,,非百家号页面，跳过评论爬取,,0
"俄乌若停战,将有26国派兵入乌,马克龙还在画大饼,泽连斯基不信",9月5日 16:20,0,,,非百家号页面，跳过评论爬取,,0
"欧洲巨变,马克龙宣布26国联军出兵乌克兰,铁了心要保乌克兰安全",9月5日 09:33,0,,,非百家号页面，跳过评论爬取,,0
法国总统马克龙:26国将在停火后向乌克兰派兵。,9月4日 22:22,0,,,非百家号页面，跳过评论爬取,,0
法国总统马克龙:乌克兰现在将与美国协调对俄罗斯的制裁事宜。,9月4日 22:21,0,,,非百家号页面，跳过评论爬取,,0
法国总统府:美法乌等多国领导人将举行电话会谈,9月4日 18:45,0,,,非百家号页面，跳过评论爬取,,0
马克龙遭意副总理炮轰 欧洲因乌克兰问题分裂加剧,9月4日 16:00,0,,,非百家号页面，跳过评论爬取,,0
"法乌元首会晤,马克龙明确表态,俄乌达成协议后将提供安全保障",9月4日 10:30,0,,,非百家号页面，跳过评论爬取,,0
