子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
"焦泊乔:上一场热身赛准备好上,杜导担心脚有反应",昨天 13:00,1,时我情15,21小时前,焦泊乔恢复顺利太好了，杜导的关心很暖心。新赛季等你健康出战，宏远冲冠实力满满！,贵州,0
焦泊乔或迎首秀 胡明轩缺阵 杜锋重用一人,9月9日 11:14,0,,,非百家号页面，跳过评论爬取,,0
"广东男篮拒绝爆冷!杜锋全力出击,焦泊乔上演首秀,新援确定出战",9月8日 00:51,0,,,非百家号页面，跳过评论爬取,,0
"广东男篮7分险胜,拒绝大逆转",,1,超级木棉树,09-08 22:49,他干吗不代表江苏队打？,广东,4
"广东男篮7分险胜,拒绝大逆转",,2,疯狂的桂姐,09-08 23:44,不是广东人，却是广东培养的好球员,广西,3
"广东男篮7分险胜,拒绝大逆转",,3,阔麻止出z,09-09 23:01,为什么没有杨溢、陈家政、王洪泽？容子峰出道多年，不止23岁了吧？,广东,0
"广东男篮7分险胜,拒绝大逆转",,4,柔顺且舒坦的典范E,09-08 07:44,李栾臻是辽宁省抚顺人 不是广东人,江苏,4
"广东男篮7分险胜,拒绝大逆转",,5,爱tyq888,09-10 04:31,|））,广东,0
"广东男篮7分险胜,拒绝大逆转",,6,百度网友16f1dd6,09-10 18:39,广东男蓝换教练了么？小便。,广东,0
"广东男篮7分险胜,拒绝大逆转",,7,冷月喜欢钓鱼,09-07 08:01,险胜这场真不容易，新援王浩然首秀40分太亮眼，李奕臻10分也稳，广东男篮冲金势头强。,湖北,43
