子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
前中超名帅有意执教国足,9月10日 12:09,0,,,非百家号页面，跳过评论爬取,,0
"国足新帅揭晓,剑指2030世界杯 选聘启动,足协布局新周期",9月6日 19:24,0,,,非百家号页面，跳过评论爬取,,0
中国足协公开选聘国足主教练 目标参加2030世界杯,9月6日 07:48,0,,,非百家号页面，跳过评论爬取,,0
国足选帅“外教优先”：是破局良药还是饮鸩止渴？,9月6日 07:40,0,,,非百家号页面，跳过评论爬取,,0
"国足或1个月敲定新帅!已有5大候选,卡纳瓦罗自荐,2人已退出",9月5日 18:19,0,,,非百家号页面，跳过评论爬取,,0
足协发布国家队主帅选聘公告,9月5日 16:40,0,,,非百家号页面，跳过评论爬取,,0
足协官宣:公开选聘国足主帅 提7大要求 目标2030世界杯,9月5日 15:46,0,,,非百家号页面，跳过评论爬取,,0
国足20多年来已换帅16人，除里皮外几乎是下课,9月5日 15:42,0,,,非百家号页面，跳过评论爬取,,0
中国足协公开选聘国足主帅,9月5日 15:36,0,,,非百家号页面，跳过评论爬取,,0
国足新帅曝光?部长钦点他!,9月1日 11:43,0,,,非百家号页面，跳过评论爬取,,0
