子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
大韩退役，杨鸣未送祝福，原因找到，继伟举动,9月8日 00:52,0,,,非百家号页面，跳过评论爬取,,0
韩德君没注册，广东前锋辅佐杜锋，北京投手被迫离开,9月7日 17:33,0,,,非百家号页面，跳过评论爬取,,0
韩德君退役,9月4日 21:24,0,,,非百家号页面，跳过评论爬取,,0
韩德君正式退役引热议 18年坚守诠释一人一城 多名媒体人送祝福,9月4日 17:45,0,,,非百家号页面，跳过评论爬取,,0
"韩德君正式退出,18年薪水曝光,拒绝辽篮安排,新岗位曝光",9月4日 12:35,0,,,非百家号页面，跳过评论爬取,,0
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,1,相忘江湖gR,09-05 06:40,关键是在俱乐部任职不准称，这俱乐部有一天没一天的！,辽宁,4
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,2,抄骏英f0,09-07 11:00,辽宁体育局的工作人员这工资在全国也是高水平了。,河南,0
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,3,花里喵喵3M,09-07 14:25,个人决择没对错之分,辽宁,0
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,4,态昔狙2,09-06 18:59,大韩不管在哪个球队再干两年。有所作为是人的最高境界。为利益而奋斗给家人积累财富。,辽宁,0
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,5,百度网友88f0ed2,09-05 04:52,回归社会，回归家庭，回归自我，远离是非，正确的选择。,辽宁,27
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,6,Leo爱scifiMovie,09-04 17:43,退役了，韩德君的选择真棒，回家陪伴家人，他的忠诚让人敬佩。,江西,39
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,7,依依去TOP,09-05 08:37,韩德君职业生涯一直效力辽宁，对于辽宁队来说是忠诚的，对于辽宁球迷来说，是值得尊重的！虽然辽宁队没有给韩德君编制，但是韩德君会在辽宁队担任其他职务的，会在辽宁篮球体系继续发挥余热的！,宁夏,4
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,8,谮记上w,09-05 10:57,王励勤是世界冠军，没有可比性,河北,3
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,9,夜雨春韭陋室,09-04 18:21,虚，太虚了,辽宁,29
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,10,暖阳下逸动,09-05 07:55,两广云海福，没事也上树,辽宁,7
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,11,爱家wang,09-09 21:10,你说谁呢,吉林,0
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,12,枚傲之LG,09-05 11:09,20万一25万还不高？,河北,4
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,13,东球弟作者,09-06 23:04,期待韩德君,福建,0
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,14,祁哥8af5a,09-05 12:45,跟经济分不开,甘肃,0
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,15,阿黑哥z98YT,09-10 18:58,说这话经过大脑了吗？你瞎吗？韩德君对辽篮的贡献有目共睹！征战CBA18年来，赢得了球迷、队友、俱乐部、体育局主管领导的一致好评！这样的球员，放眼现今国内篮坛无有其二。,辽宁,0
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,16,微风lV4,09-05 12:24,中国目前最优秀的篮球运动员，道德品质最高的篮球运动员。,北京,27
"韩德君正式退出辽篮,拒绝安置体育局",9月4日 11:24,17,茶不思想饭3T,09-05 20:27,就是一般的水平整的好像辽宁离不开你了是的。一次国家队没进去过就应该早两年退。,辽宁,4
18年功勋悍将正式退役，辽篮内线核心离开,9月2日 13:12,0,,,非百家号页面，跳过评论爬取,,0
郭艾伦发文怀念和韩德君配合 大韩的预言最终应验,9月2日 00:41,0,,,非百家号页面，跳过评论爬取,,0
CBA再无“功夫熊猫”!辽篮官宣:功勋内线韩德君告别职业赛场,9月1日 18:44,0,,,非百家号页面，跳过评论爬取,,0
篮球名将韩德君退役,9月1日 18:44,0,,,非百家号页面，跳过评论爬取,,0
官方:韩德君退役,9月1日 17:58,0,,,非百家号页面，跳过评论爬取,,0
辽宁男篮功勋老将韩德君确定退役,9月1日 07:28,0,,,非百家号页面，跳过评论爬取,,0
媒体人:纵使万般不舍终须挥手告别 祝福韩德君,8月31日 15:29,0,,,非百家号页面，跳过评论爬取,,0
