子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
“塔巴”登陆广东 远距离向华西送水 台风危险半圆横扫珠三角,9月9日 09:09,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”今天登陆广东台山 “塔巴”影响渐小 香港改发三号强风信号,9月8日 20:45,0,,,非百家号页面，跳过评论爬取,,0
今年第16号台风“塔巴”今日将登陆广东,9月8日 05:34,0,,,非百家号页面，跳过评论爬取,,0
台风塔巴在江门台山沿海登陆 广东局部有特大暴雨,9月8日 00:00,0,,,非百家号页面，跳过评论爬取,,0
"台风“塔巴”逼近,广东中部近岸海域或现5米巨浪",9月7日 17:58,1,甲睿才0gj,09-07 18:05,台风来了海边危险，大家注意安全别去凑热闹，听从建议保护好自己。,广东,0
今年第16号台风“塔巴”来袭，深圳的高温天气终于结束,9月7日 16:54,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”要来了,9月7日 10:56,0,,,非百家号页面，跳过评论爬取,,0
"台风“塔巴”要来,江西天气又要有变",9月7日 09:05,1,K峰爬山climb,09-07 09:23,台风带来凉快雨，高温终于歇口气。备好雨具防秋老虎，大家注意安全哦。,浙江,0
16号台风“塔巴”生成在即,9月6日 20:42,1,吃货大玩家璐璐,09-06 20:52,南方高温暂歇，北方早晚凉飕飕，台风快来了，大家注意防暑保暖哦。,贵州,0
"今年第16号台风即将生成,7-9日对广东有严重风雨影响",9月6日 13:30,0,,,非百家号页面，跳过评论爬取,,0
广东台风大暴雨酝酿中 或发展为16号台风“塔巴”,9月4日 17:19,0,,,非百家号页面，跳过评论爬取,,0
