子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
“特朗普致爱泼斯坦署名信”被曝光，白宫回应,9月9日 12:58,1,微微遗笑EO,09-09 17:42,估计老特当时也没想着能当大统领,吉林,4
特朗普否认经爱泼斯坦认识妻子,8月17日 14:33,0,,,,,0
特朗普称希望公布所有爱泼斯坦案相关文件,8月2日 09:55,1,零陵柒一,08-02 11:08,这人是死不要脸了。,山西,7
特朗普称希望公布所有爱泼斯坦案相关文件,8月2日 09:55,2,丹飞驰2Y,08-02 12:59,支持,广东,0
特朗普称希望公布所有爱泼斯坦案相关文件,8月2日 09:55,3,并不能车bs,08-02 12:46,并不能车bs08-02 12:46浙江举报回复赞,浙江,0
特朗普称希望公布所有爱泼斯坦案相关文件,8月2日 09:55,4,ll06056,08-02 15:03,ll0605608-02 15:03北京举报回复赞,北京,0
特朗普称希望公布所有爱泼斯坦案相关文件,8月2日 09:55,5,痛恨侵略惯犯,08-02 11:13,通俄分子特朗普满嘴谎言,四川,3
特朗普称希望公布所有爱泼斯坦案相关文件,8月2日 09:55,6,骑毛驴上珠峰,08-02 11:54,特朗普谎话连篇，是美国政客精英的真实写照,广东,10
民调：近九成美国人希望公开爱泼斯坦案所有文件,7月22日 10:07,0,,,,,0
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,1,笔直的王富棍儿,07-19 09:25,真羡慕你的天真。,山东,12
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,2,天坑才是坑,07-19 08:28,搞搞得越大越好，吃瓜群众表示夏天多吃瓜,浙江,57
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,3,未登录用户u1,07-19 09:42,100亿.,广东,1
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,4,挺拔且美好的小雏菊I,07-19 05:44,法治社会，真相终会水落石出！,贵州,8
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,5,来自老王的传承,07-19 08:37,你好像有点瞧不起他了,山东,21
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,6,导游请留步,07-19 07:35,狗咬狗,江苏,10
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,7,明昆峰4J,07-19 08:43,"特朗普世界大国总统

关税玩完了

开始玩诉讼了",江苏,8
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,8,lw544578d39dda,07-19 09:38,100亿。权势滔天的是资本还是什么。挺有意思的。,福建,3
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,9,胡服骑射之歌,07-19 08:34,哈哈哈哈,四川,0
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,10,风吹00透心凉,07-19 08:03,试图获取他人的通讯内容 并且这个通讯内容还是伪造的,河北,0
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,11,利易绿D026b,07-19 09:26,音乐,云南,1
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,12,mykimwater,07-19 09:41,真相永远是真相,广东,0
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,13,李维华特许经营,07-19 08:27,李维华特许经营中国政法大学高校教师07-19 08:27河北举报回复3,河北,3
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,14,槐树梨园,07-19 08:29,还真不一定,北京,8
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,15,卖烧饼的小石头,07-19 09:25,特朗普可千万要赢啊,江苏,2
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,16,911153569fd1ee1,07-19 08:51,特朗普这是连自己国家的企业也不放过啊,山东,5
特朗普起诉默多克和新闻集团 索赔百亿美元,7月19日 09:50,17,fy5275,07-19 08:13,100亿,江苏,34
特朗普否认致信爱泼斯坦 称《华尔街日报》刊登“伪造信件”,7月18日 10:21,1,张囚球,07-20 01:47,真相总会水落石出，阳光终将驱散阴霾！,江苏,0
