子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
欧世预英格兰5战全胜0失球，下轮赢球确认晋级世界杯,昨天 11:11,0,,,非百家号页面，跳过评论爬取,,0
"世预赛南美区大结局:6队直通,史上最差巴西",9月10日 09:50,1,欢迎爱上我,09-10 10:03,巴西这次成绩垫底，创了新低分。但02年他们夺冠过呢，梅西八球真厉害。,北京,0
"世预赛南美区大结局:6队直通,史上最差巴西",9月10日 09:50,2,Brian7Reus,09-10 12:05,没事 晋级就行了,河北,0
"世预赛南美区大结局:6队直通,史上最差巴西",9月10日 09:50,3,tomorrowVyi,09-10 12:11,如果是扩军前的那种情况巴西还能进吗,浙江,0
"世预赛南美区大结局:6队直通,史上最差巴西",9月10日 09:50,4,lupeian,09-11 05:00,第五名能打附加赛,广东,0
"世南美预:秘鲁主场求胜,巴拉圭客场逆袭?",9月9日 08:21,0,,,非百家号页面，跳过评论爬取,,0
南美世预赛最新战况:6队直通世界杯+2队角逐附加赛名额,9月6日 07:29,0,,,非百家号页面，跳过评论爬取,,0
"梅西的世预赛主场谢幕:在留白中远去,把未来交给时间",9月5日 15:30,1,拉萨阳光妹,09-05 17:18,梅西主场谢幕太温暖，两球致敬球迷深情，留白处未来可期。,重庆,0
南美世预赛6队直通提前敲定，巴西、阿根廷皆3-0大胜,9月5日 10:44,0,,,非百家号页面，跳过评论爬取,,0
