子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
"华为Mate XTs 非凡大师三折叠手机备件价格公布,柔性屏主体 4999 元",9月7日 15:07,0,,,非百家号页面，跳过评论爬取,,0
全球首款安卓三折叠屏亮相,9月7日 08:01,0,,,无评论,,0
华为官宣麒麟芯片发布,9月6日 18:54,0,,,非百家号页面，跳过评论爬取,,0
华为三折叠手机又来炸场了,9月5日 17:25,0,,,无评论,,0
华为Mate XTs非凡大师再现折叠屏创新,9月5日 16:35,0,,,非百家号页面，跳过评论爬取,,0
"华为三折叠手机上新,苹果明年或推出首款折叠机",9月5日 13:53,0,,,非百家号页面，跳过评论爬取,,0
"拆解华为新三折叠机核心供应商,前期备货量 40-60 万台",9月5日 00:00,0,,,非百家号页面，跳过评论爬取,,0
华为新三折叠Mate XTs芯片曝光,9月4日 17:57,1,Kenny喜欢夜Run,09-04 23:00,华为工程师太拼了，技术突破真给力，职场人都有底气了。,上海,0
华为Mate XTs 非凡大师即将亮相,,1,Tina猫步轻偷,09-03 12:44,华为折叠屏再出新招，三折叠大师版升级配色和AI，期待这次惊喜。,海南,0
