子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
"2025上半年财报:比亚迪净利=吉利+长城,蔚来单车亏10万",9月5日 09:41,1,a298024,09-07 19:12,赞一个,广东,0
"2025上半年财报:比亚迪净利=吉利+长城,蔚来单车亏10万",9月5日 09:41,2,BubbleTea泡仔,09-05 15:06,比亚迪利润真猛，顶吉利长城之和。零跑也盈利了，行业前景看好。,天津,0
2025年上半年比亚迪荣膺A股“研发之王” 引领行业技术革新,9月3日 15:43,0,,,非百家号页面，跳过评论爬取,,0
比亚迪2025上半年研发投入达309亿,9月3日 09:56,0,,,非百家号页面，跳过评论爬取,,0
"比亚迪2025上半年的财报营收3713亿,利润155亿",9月2日 20:10,0,,,非百家号页面，跳过评论爬取,,0
比亚迪发布上半年财务数据,9月2日 11:48,0,,,非百家号页面，跳过评论爬取,,0
比亚迪半年报:研发投入309亿创新高 比净利润高154亿,,1,波士顿赵信主,09-01 11:03,比亚迪研发投入309亿真大方，创新精神太赞了。海外销量暴涨，国货之光稳步前行。,海南,0
