子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
波兰将关闭波兰与白俄罗斯边境口岸，已与北约盟国启动军事演习,昨天 12:05,0,,,非百家号页面，跳过评论爬取,,0
"俄沙赫德无人机闯入波兰,北约紧急应对,H26 公路战火重燃?",昨天 11:25,0,,,非百家号页面，跳过评论爬取,,0
波兰称遭俄罗斯无人机入侵,昨天 08:27,0,,,非百家号页面，跳过评论爬取,,0
俄罗斯无人机进入波兰?白俄罗斯连夜向波兰立陶宛交换空中雷达信息,昨天 01:54,0,,,非百家号页面，跳过评论爬取,,0
波兰军方称对侵犯其领空的无人机进行打击,9月10日 22:26,0,,,非百家号页面，跳过评论爬取,,0
泽连斯基通告全球，俄军8架无人机突入波兰，引爆国际舆论,9月10日 21:50,0,,,无评论,,0
波兰领空遭遇“前所未有的无人机入侵”,9月10日 16:55,1,_刘辈,09-10 17:14,和平的天空需要共同守护，愿世界少些纷争多些安宁！,内蒙古,0
"波兰军方:领空遭遇了前所未有的无人机入侵,这是一种“侵略行为”",9月10日 12:32,1,沧海小熊笑DQ,09-10 19:17,波兰军方反应迅速，无人机入侵？直接‘拍’下来！,安徽,0
"波兰军方:波空域屡遭无人机等飞行物侵犯,正在识别并摧毁",9月10日 10:44,0,,,无评论,,0
