子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
“村超”重启，国际巨星助阵迈向世界的“第三步”,7月27日 18:41,1,晴晴讨厌热天,07-27 21:26,洪水过后‘村超’重启，巨星助阵真暖心，榕江人好样的！迈向世界加油。,江苏,0
洪灾之后 “村超”回归,7月27日 09:11,1,小鹿Lulu爱人,07-27 09:43,风雨过后见彩虹，村超重启踢得火热！感恩各方支援，生活又热闹起来啦。,海南,1
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,1,钓鱼小菜鸟三哥,07-26 22:19,忧郁王子也变油腻大叔了,江苏,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,2,为墨痴情不灭火,07-26 22:57,卡洛斯这个学的了吗,北京,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,3,划过暗夜的光,07-26 22:27,中国足协这脸被打的啪啪啪的响，这些足坛名宿平时请人家都不来，却去了村超，看来贵州村超确实真正的在为足球的发展做贡献,四川,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,4,我只是一片云,07-26 22:07,当年特别喜欢看巴乔踢球，灵气十足,四川,3
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,5,打印的字比较好,07-26 23:41,老巴乔，除了老马，你是我最喜欢的球员，下一个是小罗,广西,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,6,广在你旁边,07-26 22:56,现在不是说要抵制国足赞助商了吗？要不中超的赞助商也带上？,广东,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,7,楚子祎gL,07-26 23:09,所以我加了前缀“力量够的话”,北京,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,8,奕风仓,07-26 22:52,我爸就是从90年世界杯开始就爱上了巴乔,辽宁,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,9,宁有种乎861,07-26 20:19,巴乔,河北,3
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,10,婧婧爱吃烧烤,07-26 15:01,球星下乡真暖心，专门教娃踢球技。村超越来越有盼头啦。,天津,1
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,11,牟承颜071,07-27 18:50,民间的交流是越来越顺畅了,湖南,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,12,百度网友171893b,07-27 06:46,可以学型，至于效果就不要苛求了,广西,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,13,世晗玥ZO,07-26 22:25,球星助阵，孩子受益。,云南,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,14,鬼眼龙王,07-26 22:51,地球上有几个人能达到他的腿部力量？,江苏,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,15,碧笑周末煮,07-26 21:55,卡洛斯：谁把老子请来的？赶紧给老子送回去！,四川,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,16,基辅魂穿特拉维夫,07-27 08:57,这是大使,北京,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,17,来自大洪山白璧无暇的满天星,07-26 22:27,巴乔，我的神,四川,0
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,18,不服来辩必回复,07-26 20:20,想教球！你先学会人情世故再来教球吧！！,山东,1
"球星巴乔、卡洛斯将助阵贵州“村超”,卡洛斯表示愿意教贵州孩子",7月26日 14:43,19,楚子祎gL,07-26 22:23,力量够的话，还是学卡洛斯吧,北京,0
