子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
伦纳德陷“阴阳合同”疑云、鲍尔默被要求卖队,9月8日 20:28,0,,,非百家号页面，跳过评论爬取,,0
快船恐遭调查!伦纳德“遭重”:或涉嫌“阴阳合同”规避工资帽?,9月8日 15:53,1,塔海亦0G5,09-08 15:57,快船阵容强大，但愿调查别耽误夺冠机会。,山西,0
NBA重启对快船的调查 但证据链薄弱,9月7日 12:53,0,,,非百家号页面，跳过评论爬取,,0
"解密:萧华动不了快船老板和伦纳德,因为没有确凿证据",9月6日 12:05,0,,,非百家号页面，跳过评论爬取,,0
鲍尔默:球星和球队赞助商达成合作是合规的 是否审查由联盟决定,9月5日 14:12,0,,,非百家号页面，跳过评论爬取,,0
"快船伦纳德或成自由身,联盟“零容忍”处罚将至?",9月4日 21:27,0,,,非百家号页面，跳过评论爬取,,0
快船否认阴阳合同，TA记者硬刚，鲍尔默早被问询,9月4日 17:28,0,,,非百家号页面，跳过评论爬取,,0
快船球星伦纳德与球队老板鲍尔默存在阴阳合同,9月4日 13:18,0,,,非百家号页面，跳过评论爬取,,0
小卡涉嫌阴阳合同!乐福INS:《爱心树》 史蒂夫-鲍尔默著,9月4日 09:34,0,,,非百家号页面，跳过评论爬取,,0
