子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
"加澳组团台海碰瓷,中国精准反制,克林顿直言:中国迟早会替代美国?",昨天 15:05,0,,,非百家号页面，跳过评论爬取,,0
"加澳军舰过航台湾海峡,解放军全程跟踪",昨天 11:27,0,,,非百家号页面，跳过评论爬取,,0
加拿大与澳大利亚军舰过航台湾海峡，解放军硬核通告全球,9月10日 01:28,0,,,非百家号页面，跳过评论爬取,,0
"九三阅兵刚结束,台海危险一幕!澳大利亚和加拿大军舰上门挑衅",9月9日 15:39,0,,,非百家号页面，跳过评论爬取,,0
"澳加军舰强闯台海中线挑衅,九三阅兵后首支外军舰队,赖清德幻想破灭",9月8日 19:35,0,,,非百家号页面，跳过评论爬取,,0
澳大利亚和加拿大军舰过航台海，解放军全程跟监,9月8日 19:10,0,,,非百家号页面，跳过评论爬取,,0
加澳军舰过航台湾海峡 东部战区新闻发言人:全程跟监警戒,9月7日 08:48,0,,,非百家号页面，跳过评论爬取,,0
回应加澳军舰过航台湾海峡 东部战区新闻发言人:全程跟监警戒,9月7日 08:25,0,,,非百家号页面，跳过评论爬取,,0
