子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
德转列利：物浦夏窗主力阵5处更替，总身价上涨1.2亿,9月7日 19:17,0,,,非百家号页面，跳过评论爬取,,0
英超夏窗身价变化:利物浦+2.54亿 阿森纳+2.25亿 切尔西+1.69亿,9月4日 21:41,0,,,非百家号页面，跳过评论爬取,,0
"利物浦的创纪录引援,为什么能花这么多钱?",9月3日 18:00,0,,,非百家号页面，跳过评论爬取,,0
"利物浦预期阵容:433&两位亿元先生坐镇,埃基蒂克左路",9月3日 17:14,0,,,非百家号页面，跳过评论爬取,,0
利物浦去年预算少，今年直接把预算拉满,9月3日 15:12,0,,,非百家号页面，跳过评论爬取,,0
"英超夏窗烧30亿,将德甲变供货商,真金白银堆砌第一联赛",9月2日 14:59,0,,,非百家号页面，跳过评论爬取,,0
利物浦夏窗汇总:两破英超纪录&包揽夏窗前三,9月2日 14:58,0,,,非百家号页面，跳过评论爬取,,0
"利物浦夏窗:豪掷4.83亿,标王伊萨克1.44亿压哨官宣",9月2日 14:49,0,,,非百家号页面，跳过评论爬取,,0
"利物浦夏窗汇总:两破英超纪录&包揽夏窗前三,总支出4.84亿欧",9月2日 12:00,0,,,非百家号页面，跳过评论爬取,,0
切尔西是第一家在夏窗卖人超过3亿英镑的英超俱乐部,9月2日 12:00,0,,,非百家号页面，跳过评论爬取,,0
"夏窗俱乐部收入排名:切尔西3.32亿欧居首,利物浦2.2亿欧列第四",9月2日 09:40,0,,,非百家号页面，跳过评论爬取,,0
"利物浦压哨连签2人,夏窗投入超5亿",9月1日 22:55,1,Harry奔跑Boy,09-01 22:58,作者加油💪，期待更多。,吉林,1
"利物浦压哨连签2人,夏窗投入超5亿",9月1日 22:55,2,cloud6OlW7,09-02 14:19,真假？！,浙江,0
"利物浦压哨连签2人,夏窗投入超5亿",9月1日 22:55,3,南洋双喜168,09-02 15:58,格伊不来了 水晶宫不放人,中国香港,0
"利物浦压哨连签2人,夏窗投入超5亿",9月1日 22:55,4,我是咯互杀额,09-02 15:05,去年没花钱，今年就多花点,四川,0
"利物浦压哨连签2人,夏窗投入超5亿",9月1日 22:55,5,家有儿女mq9,09-02 12:50,格伊不来了,辽宁,1
"利物浦今夏支出将超5亿欧,创历史纪录",9月1日 22:48,0,,,非百家号页面，跳过评论爬取,,0
