子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
台风“塔巴”登陆广东台山沿海,9月8日 11:32,0,,,非百家号页面，跳过评论爬取,,0
中央气象台发布台风黄色预警 “塔巴”或于8点前后在广东沿海登陆,9月8日 06:42,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”今日将登陆广东 华南沿海暴雨大暴雨来袭,9月8日 06:31,0,,,非百家号页面，跳过评论爬取,,0
今年第16号台风“塔巴”今日将登陆广东,9月8日 05:34,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”明天登陆 华南多地积极应对,9月7日 22:29,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”逼近 广东多地渔船回港避风,9月7日 21:07,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”在广东掀起狂风暴雨,9月7日 18:29,0,,,非百家号页面，跳过评论爬取,,0
"台风“塔巴”逼近,广东中部近岸海域或现5米巨浪",9月7日 17:58,1,甲睿才0gj,09-07 18:05,台风来了海边危险，大家注意安全别去凑热闹，听从建议保护好自己。,广东,0
"今年第16号台风“塔巴”来袭,深圳的高温天气终于结束了",9月7日 16:54,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”要来了或在广东沿海登陆,9月7日 13:21,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”直扑广东,9月7日 11:25,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”要来了,9月7日 10:56,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”预计登陆广东 广东防风应急响应提升至Ⅲ级,9月7日 09:27,0,,,无评论,,0
"台风“塔巴”剑指广东粤西,广东沿海有散装大雨～暴雨",9月6日 22:46,0,,,无评论,,0
今年第16号台风即将生成,9月6日 13:30,0,,,非百家号页面，跳过评论爬取,,0
广东台风大暴雨酝酿中 或发展为16号台风“塔巴”,9月4日 17:19,0,,,非百家号页面，跳过评论爬取,,0
