子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
"以色列铁穹遭挑战,胡塞无人机突袭机场",昨天 14:10,0,,,非百家号页面，跳过评论爬取,,0
胡塞武装无人机让以防空系统看走眼,9月10日 12:44,0,,,非百家号页面，跳过评论爬取,,0
以色列机场遭胡塞武装袭击,9月9日 12:32,0,,,非百家号页面，跳过评论爬取,,0
胡塞武装称三次袭击以色列 以方机场关闭、警报响起,9月8日 23:15,1,竣俊junjun,09-10 01:10,愿世界和平，共筑美好未来！,湖北,0
"无人机击中以色列机场,警报未响",9月8日 16:55,0,,,非百家号页面，跳过评论爬取,,0
"胡塞武装声东击西,以色列机场遭炸致命失误曝光",9月8日 13:43,0,,,非百家号页面，跳过评论爬取,,0
"胡塞武装8架无人机袭击以色列,一架闯入以南部机场,致8人受伤",9月8日 13:34,0,,,非百家号页面，跳过评论爬取,,0
胡塞武装8架无人机袭击以色列，一架闯入机场,9月8日 12:13,0,,,非百家号页面，跳过评论爬取,,0
以色列 以第二大机场遭也门胡塞武装无人机袭击,9月8日 07:32,0,,,非百家号页面，跳过评论爬取,,0
