子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
"特朗普提议后,“只有一人留下”",今天 00:01,0,,,无评论,,0
韩国被扣工人将于11日启程回国,昨天 09:49,0,,,非百家号页面，跳过评论爬取,,0
韩国外长：被捕韩公民再入境美国时不会受到不利影响,昨天 09:37,0,,,非百家号页面，跳过评论爬取,,0
韩国派包机赴美接回被捕的数百名韩籍员工,昨天 02:02,0,,,无评论,,0
"300多名韩国公民被美方拘留,韩国派包机赴美接回",9月10日 15:00,0,,,非百家号页面，跳过评论爬取,,0
韩企员工在美被捕事件 韩媒:韩最快10日包机赴美接回被拘公民,9月10日 05:29,0,,,非百家号页面，跳过评论爬取,,0
韩最快10日包机赴美接回被拘公民,9月9日 22:22,0,,,非百家号页面，跳过评论爬取,,0
韩企员工在美被捕事件 韩国外长启程赴美 将就该事件紧急磋商,9月9日 07:32,0,,,非百家号页面，跳过评论爬取,,0
韩将接回在美被捕工人 韩外长赴美商讨签证问题,9月8日 19:20,0,,,非百家号页面，跳过评论爬取,,0
韩国政府将接回在美国遭扣押工人,9月8日 16:16,0,,,非百家号页面，跳过评论爬取,,0
"美国突然逮捕超300名韩国人,韩国外长:如有必要将亲自赴美",9月8日 14:42,0,,,非百家号页面，跳过评论爬取,,0
韩国现代在美工厂475人被捕 被捕人员无合法身份 300多人来自韩国,9月8日 13:45,0,,,非百家号页面，跳过评论爬取,,0
韩总统办公室：已与美方就释放被捕韩企人员协商完毕,9月8日 05:52,0,,,非百家号页面，跳过评论爬取,,0
韩方称已与美方协商释放约300名被抓韩国人，政府将包机前往美国,9月7日 20:21,0,,,无评论,,0
