子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
阿卡硬地首胜德约，7进大满贯决赛，静候辛纳冲击第6冠,9月6日 17:37,0,,,非百家号页面，跳过评论爬取,,0
德约美网无缘个人大满贯第25冠 阿卡创纪录,9月6日 14:48,0,,,非百家号页面，跳过评论爬取,,0
德约科维奇再度四强上步，坦承体能极限难抗,9月6日 13:21,1,星北醉6,09-06 15:28,德约科维奇这场虽败犹荣，38岁创纪录进四强。体能不足但精神可嘉，期待他继续拼搏。,山东,0
阿尔卡拉斯硬地赛场首胜德约科维奇,9月6日 07:35,0,,,非百家号页面，跳过评论爬取,,0
阿卡硬地首胜德约，7进大满贯决赛，冲第6冠，静候世界第1辛纳,9月6日 07:28,1,泥浩利6p,09-06 08:05,恭喜阿卡,广东,2
阿卡硬地首胜德约，7进大满贯决赛，冲第6冠，静候世界第1辛纳,9月6日 07:28,2,欣欣喜欢睡pyjama,09-06 07:33,阿卡硬地首胜德约太强了，七进决赛冲冠第六次。静候辛纳，看好他夺冠。,甘肃,1
单打四强出炉:德约科维奇将再战阿尔卡拉斯,9月4日 13:21,1,撩汉技术全明星,09-04 16:13,作者加油，期待更多！,浙江,1
德约科维奇希望打破“辛卡拉斯”会师决赛计划,9月3日 15:26,0,,,非百家号页面，跳过评论爬取,,0
德约3-1力克上届亚军创6纪录 53次进大满贯四强,9月3日 13:50,0,,,非百家号页面，跳过评论爬取,,0
阿尔卡拉斯第九次晋级大满贯四强,9月3日 12:26,0,,,非百家号页面，跳过评论爬取,,0
"德约科维奇与阿尔卡拉斯再度对决,美网四强之争一触即发!",9月3日 12:26,0,,,非百家号页面，跳过评论爬取,,0
女单1/4决赛佩古拉VS克赖奇科娃,9月3日 07:59,0,,,非百家号页面，跳过评论爬取,,0
德约3-0轻取施特鲁夫晋级美网8强 将战弗里茨,9月1日 09:54,0,,,非百家号页面，跳过评论爬取,,0
