子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
瓦兰防字母哥直接回撤篮下 后者空位中距离得分,9月10日 15:24,0,,,非百家号页面，跳过评论爬取,,0
帕帕尼古拉乌:字母哥就是世界上最强的球员 没人能限制他,9月10日 14:04,1,Mordekaiser的男友,09-10 14:26,字母哥实力顶尖，帕帕尼古拉乌夸得对，统治力确实无人能挡。,湖南,0
希腊时隔16年重返四强,9月10日 05:38,1,留声师VinylVince,09-10 05:40,字母哥这场真是天神下凡，数据爆炸带飞希腊！时隔16年进四强太燃了。,河南,10
希腊时隔16年重返四强,9月10日 05:38,2,kangjianxinal,09-10 14:37,立陶宛真不走运，假如碰到的是芬兰或者格鲁吉亚，肯定四强,河北,5
希腊男篮首次进欧锦赛4强,9月10日 04:29,0,,,非百家号页面，跳过评论爬取,,0
字母哥全场砍下29分6板4断,9月10日 04:28,0,,,非百家号页面，跳过评论爬取,,0
东契奇破纪录，字母哥25+14+9,9月7日 12:32,0,,,非百家号页面，跳过评论爬取,,0
"希腊字母哥爆发斯洛文尼亚东契奇逆袭,欧洲篮球风云变幻",9月7日 07:22,0,,,非百家号页面，跳过评论爬取,,0
字母哥1年290万签约，感谢雄鹿，威少不会让你们失望,9月5日 09:07,1,hjh华少,09-05 12:40,威少真心不能来，球不够用,湖南,1
字母哥1年290万签约，感谢雄鹿，威少不会让你们失望,9月5日 09:07,2,世界和我有爱,09-05 09:12,恭喜字母哥哥签约雄鹿！兄弟团聚真暖，威少加盟更添活力，看好新赛季默契。,青海,3
"希腊男篮首败,单节打出13-25,字母兄弟共砍9分太辣眼",9月4日 01:10,0,,,非百家号页面，跳过评论爬取,,0
希腊男篮被轰18-0爆冷输波黑遭首败,9月3日 08:23,0,,,非百家号页面，跳过评论爬取,,0
